ACARA School ID,School Name,Suburb,PostCode
43347,St Clare's Catholic Primary School,NARELLAN VALE,2567
43350,St Patrick's Catholic Primary School,PORT KEMBLA,2505
43367,St Felix's Catholic Primary School,BANKSTOWN,2200
43370,St Joseph's Catholic Primary School,BELMORE,2192
43373,Mater Dei Catholic Primary School,BLAKEHURST,2221
43387,St Mary's Catholic Primary School,CONCORD,2137
43390,St Aloysius Catholic Primary School,CRONULLA,2230
43393,St Michael's Catholic Primary School,DACEYVILLE,2032
43410,St Joan Of Arc Catholic Primary School,HABERFIELD,2045
43413,Villa Maria Catholic Primary School,HUNTERS HILL,2110
43430,St Therese Catholic Primary School,MASCOT,2020
43433,Holy Family Catholic Primary School,MENAI,2234
43450,St Luke's Catholic Primary School,REVESBY,2212
43453,McAuley Catholic Primary School,ROSE BAY,2029
43456,Immaculate Heart of Mary Catholic Primary School,SEFTON,2162
43470,St Catherine of Siena Catholic Primary School,PRESTONS,2170
43473,Our Lady of The Sacred Heart College,KENSINGTON,2033
43476,St Ursula's College,KINGSGROVE,2208
43493,St Patrick's College,SUTHERLAND,2232
43496,De La Salle College,ASHFIELD,2131
43513,St Joseph's Primary School,CORAKI,2471
43516,St Joseph's Primary School,SOUTH GRAFTON,2460
43533,St Joseph's Primary School,TWEED HEADS,2485
43536,St Francis Xavier Primary School,WOOLGOOLGA,2456
43539,Xavier Catholic College,SKENNARS HEAD,2478
43553,St Mary's Catholic School,WELLINGTON,2820
43556,Cathedral School,BATHURST,2795
43559,St Edward's School,CANOWINDRA,2804
43576,St Laurence's Primary School,DUBBO,2830
43579,St John's College,DUBBO,2830
43596,St Patrick's Primary School,TRUNDLE,2875
43599,St Anne's Primary School,NORTH ALBURY,2640
43602,St Peter's Primary School,COLEAMBALLY,2707
43616,All Saints Primary School,TUMBARUMBA,2653
43619,St Mary's Primary School,YOOGALI,2680
43622,Sacred Heart Primary School,KOORINGAL,2650
43636,St Philomena's School,MOREE,2400
43639,St Joseph's School,QUIRINDI,2343
43642,St Edward's Primary School,TAMWORTH,2340
43659,St Patrick's College,CAMPBELLTOWN,2560
43662,St Patrick's College,STRATHFIELD,2135
43679,Holy Saviour School,GREENACRE,2190
43682,"Brigidine College, St Ives",ST IVES,2075
43685,St Edmund's School,WAHROONGA,2076
43699,Condell Park Christian School,CONDELL PARK,2200
43702,Dubbo Christian School,DUBBO,2830
43705,Mount Sinai College,MAROUBRA,2035
43724,M.E.T. School,OATLANDS,2117
43728,North Gosford Campus,NORTH GOSFORD,2250
43752,The Lakes Christian College,CASTLEREAGH,2749
43769,Aspect Vern Barnett School,FORESTVILLE,2087
43772,Central Coast Rudolf Steiner School,FOUNTAINDALE,2258
43775,Manning District Adventist School,TINONEE,2430
43789,Young Campus,YOUNG,2594
43792,Sutherland Shire Christian School,BARDEN RIDGE,2234
43795,Queenwood School for Girls Ltd,MOSMAN,2088
43812,Glenaeon Rudolf Steiner School,MIDDLE COVE,2068
43815,Kamaroi Rudolf Steiner School,BELROSE,2085
43832,Chrysalis School for Rudolf Steiner Education,THORA,2454
43835,Nowra Anglican College,BOMADERRY,2541
43838,Barker College,HORNSBY,2077
43852,Al Amanah College,BANKSTOWN,2200
43856,Northside Montessori School,PYMBLE,2073
43859,Masada College High School,ST IVES,2075
43873,Cedars Christian College,FARMBOROUGH HEIGHTS,2526
43876,Central Coast Adventist School,ERINA,2250
43879,Sapphire Coast Anglican College,BEGA,2550
43896,Northcross Christian School,RYDE,2112
43899,Italian Bilingual School,MEADOWBANK,2114
43916,Warrah Village Rudolf Steiner School for Curative Education,DURAL,2158
43919,Al Amanah College,LIVERPOOL,2170
43922,Montessori East,BONDI,2026
43936,Macarthur Adventist College,MACQUARIE FIELDS,2564
43939,Ravenswood School for Girls,GORDON,2072
43942,Adventist Primary School - Toronto,TORONTO,2283
43959,All Saints Greek Orthodox Grammar School,BELMORE,2192
43962,Bethel Christian School,MOUNT DRUITT,2770
43980,Malek Fahd Islamic School,GREENACRE,2190
43983,St Mary and St Mina's Coptic Orthodox College,BEXLEY,2207
44002,Sydney Japanese School,TERREY HILLS,2084
44005,Tudor House,MOSS VALE,2577
44008,Rouse Hill Anglican College,ROUSE HILL,2155
44024,Orange Christian School,ORANGE,2800
44027,Sathya Sai Primary School,MURWILLUMBAH,2484
44030,Alberton Primary School,ALBERTON,3971
44047,Castlemaine Primary School,CASTLEMAINE,3450
44050,California Gully Primary School,CALIFORNIA GULLY,3556
44069,Hawthorn West Primary School,HAWTHORN,3122
44073,Heathcote Primary School,HEATHCOTE,3523
44090,Burwood East Primary School,BURWOOD EAST,3151
44093,Essendon Primary School,ESSENDON,3040
44096,Mernda Primary School,MERNDA,3754
44111,Koroit And District Primary School,KOROIT,3282
44114,Wangaratta Primary School,WANGARATTA,3677
44117,Woodford Primary School,WOODFORD,3281
44135,Bairnsdale Primary School,BAIRNSDALE,3875
44138,Lara Lake Primary School,LARA LAKE,3212
44155,Lal Lal Primary School,LAL LAL,3352
44158,Lilydale Primary School,LILYDALE,3140
44161,Linton Primary School,LINTON,3360
44175,Sunbury Primary School,SUNBURY,3429
44178,Axedale Primary School,AXEDALE,3551
44181,Balwyn Primary School,BALWYN,3103
44198,Hastings Primary School,HASTINGS,3915
44201,Heyfield Primary School,HEYFIELD,3858
44219,Trawalla Primary School,TRAWALLA,3373
44222,Woodside Primary School,WOODSIDE,3874
44239,Moyston Primary School,MOYSTON,3377
44243,Marysville Primary School,MARYSVILLE,3779
44246,Cowes Primary School,COWES,3922
44261,Mount Eliza Primary School,MOUNT ELIZA,3930
44264,Dimboola Primary School,DIMBOOLA,3414
44267,Lethbridge Primary School,LETHBRIDGE,3332
44284,Toolamba Primary School,TOOLAMBA,3614
44287,Frankston Primary School,FRANKSTON,3199
44304,Brighton Primary School,BRIGHTON,3186
44307,Big Hill Primary School,BIG HILL,3555
44324,Oakleigh Primary School,OAKLEIGH,3166
44327,Daylesford Primary School,DAYLESFORD,3460
44330,Amphitheatre Primary School,AMPHITHEATRE,3468
44344,Carraragarmungee Primary School,LONDRIGAN,3678
44347,Shepparton East Primary School,SHEPPARTON EAST,3631
44350,Miners Rest Primary School,MINERS REST,3352
44368,Merrigum Primary School,MERRIGUM,3618
44371,Newtown Primary School,NEWTOWN,3220
44389,Little River Primary School,LITTLE RIVER,3211
44392,Camp Hill Primary School,BENDIGO,3550
44395,Buln Buln Primary School,BULN BULN,3821
44409,Chilwell Primary School,NEWTOWN,3220
44412,Cranbourne Primary School,CRANBOURNE,3977
44415,Leitchville Primary School,LEITCHVILLE,3567
44429,Lorne - Aireys Inlet P-12 College,LORNE,3232
44432,Minyip Primary School,MINYIP,3392
44435,Tyers Primary School,TYERS,3844
44452,Narracan Primary School,NARRACAN,3824
44455,Darnum Primary School,DARNUM,3822
44472,Diggers Rest Primary School,DIGGERS REST,3427
44475,Wurruk Primary School,WURRUK,3850
44478,Hoddles Creek Primary School,HODDLES CREEK,3139
44492,Somerville Primary School,SOMERVILLE,3912
